Strain,Mean_intensity,QTL14
SS-B307,12310.311000000002,1
SS-B310,12255.142666666667,1
SS-B311,14045.272333333334,1
SS-B312,18635.336333333336,0
SS-B313,16597.82933333333,0
SS-B314,11616.995,1
SS-B315,17141.369000000002,0
SS-B316,10613.67,1
SS-B317,8562.591,1
SS-B350,12222.976333333334,1
SS-B354,12128.838333333333,0
SS-B356,14284.985,0
SS-B382,13633.738333333333,1
SS-B383,17977.808333333334,0
SS-B570,17781.052,0
SS-B575,13131.941833333332,1
SS-B598,17153.944666666666,0
SS-B599,18430.880333333334,0
SS-B886_cor,17619.251,0
SS-B887_cor,13602.219,1
SS-B908,20620.81466666667,0
SS-B929,12590.904999999999,1
SS-B930,16822.702,1
SS-C029_cor,18354.263000000003,0
SS-C031_cor,11714.187666666667,1
SS-C033,12136.226333333332,1
SS-C036,18097.951666666664,0
SS-C039,19446.569,0
SS-C242,16766.547666666665,0
SS-C271,15100.863,0
SS-C272,8753.444666666666,1
SS-C290,12548.159999999998,1
SS-C291,18622.775333333335,0
XL280alpha,19862.037333333334,0
XL280a,18894.701,0
SS-A837,11169.801999999998,1
SS-B358,13197.207333333334,1
SS-B874_cor,17700.453666666668,0
SS-B872,13946.171999999999,1
SS-B874,18053.505666666668,0
SS-B886,17919.54233333333,0
SS-B887,12886.555333333332,1
SS-B906,14180.871333333334,1
SS-B961,19191.840333333337,0
SS-B560,15864.437333333333,1
SS-B869_cor,11752.092666666666,1
SS-B357,17455.744000000002,0
SS-B360,13758.783333333335,1
SS-B364,5925.816,0
SS-B366,17842.346,0
SS-B368,19223.485333333334,0
SS-B369,15529.797666666665,0
SS-B373,17781.081333333335,0
SS-B374,9582.722666666667,1
SS-B378,17887.33766666667,0
SS-B379,13015.423999999999,1
SS-B387,19437.558666666668,0
SS-B396,13994.126666666669,1
SS-B397,17458.240999999998,0
SS-B872_cor,16967.662,0
SS-B998,15437.553,1
SS-B399,16426.194,0
SS-B407,17138.417,0
SS-C001,11676.051333333331,1
SS-C026_cor,13163.876666666669,1
SS-B553,14485.477333333334,0
SS-B563,18760.641666666666,0
SS-B564,12894.657333333334,1
SS-B565,12495.672333333334,0
SS-B876,16534.960333333333,0
SS-B880,11729.977333333334,1
SS-B890_cor,13108.909999999998,1
SS-B892_cor,12224.805333333332,1
SS-B873_cor,12795.461000000001,1
SS-B896_cor,11557.729666666666,1
SS-B569,17518.603000000003,0
SS-B898_cor,12982.435666666666,1
SS-B574,18564.528000000002,1
SS-B901_cor,10777.829333333333,1
SS-B905,12460.382333333335,1
SS-B906_cor,13863.959333333334,1
SS-B908_cor,12958.722666666667,1
SS-B926,13300.061666666666,1
SS-B927,17699.191000000003,1
SS-B579,16963.947666666667,1
SS-B580,17591.315666666665,0
SS-B952,12685.622333333333,1
SS-B956,13125.659999999998,0
SS-B960_cor,13368.351666666667,1
SS-B961_cor,11834.493666666667,1
SS-B584,12606.501666666665,1
SS-B996,17600.096,1
SS-B997,13608.571333333333,0
SS-B585,16703.158333333336,0
SS-B586,11046.815666666667,1
SS-B587,18148.820000000003,0
SS-B588,17746.74,0
SS-B589,16930.222333333335,1
SS-B591,17597.25766666667,1
SS-B600,16152.701000000001,0
SS-B605,18805.338,1
SS-B606,18896.698333333334,0
SS-B621,6929.561000000001,1
SS-B611,18387.172666666665,0
