Strain,Replicate,Stack,passage,plate,Area.1,Area.12
431alpha,1,2,10,p2_1,0.5791200000000001,4.58978
431alpha,1,1,11,p1_1,0.62484,6.985
B307,1,3,10,p2_1,1.62306,12.00404
B308,1,2,10,p2_1,0.22352,4.7117000000000004
B310,1,5,10,p2_1,0.48006,4.46532
B311,1,4,10,p2_1,0.38862,2.62636
B312,1,5,10,p2_1,1.7449800000000002,8.90524
B313,1,1,10,p2_1,1.51892,10.94486
B314,1,3,10,p2_1,0.2667,4.96316
B315,1,2,10,p2_1,1.81864,2.5933400000000004
B316,1,1,10,p2_1,0.23622,2.48158
B317,1,4,10,p2_1,0.4318,21.503639999999997
B350,1,1,10,p2_1,0.30226,14.345920000000001
B353,1,4,11,p1_1,0.25146,1.8288
B354,1,2,10,p2_1,1.44272,6.86816
B356,1,2,10,p2_1,1.73228,2.66446
B357,1,2,11,p1_1,0.44195999999999996,3.7465
B358,1,5,10,p2_1,0.3302,21.569679999999998
B360,1,4,11,p1_1,2.19202,2.83718
B364,1,3,11,p1_1,0.3937,12.04722
B368,1,4,11,p1_1,0.7010400000000001,2.1082
B369,1,3,11,p1_1,0.8128000000000001,20.698459999999997
B373,1,5,10,p2_1,0.9245599999999999,2.76352
B373,1,2,11,p1_1,0.8585200000000001,3.6576
B374,1,5,11,p1_1,1.52908,1.8338800000000002
B376,1,4,11,p1_1,0.5588,19.491960000000002
B377,1,1,10,p2_1,0.89408,9.532620000000001
B378,1,3,11,p1_1,2.25044,5.2832
B379,1,5,11,p1_1,0.61214,8.61314
B382,1,4,10,p2_1,1.3665200000000002,3.8811199999999997
B387,1,3,11,p1_1,1.27762,5.57276
B397,1,2,11,p1_1,0.8813799999999999,7.29488
B399,1,2,11,p1_1,1.0464799999999999,4.22402
B407,1,3,11,p1_1,0.5206999999999999,1.91262
B410,1,4,10,p2_1,0.381,2.2733
B518,1,4,10,p2_1,0.7569199999999999,3.9878
B560,1,1,10,p2_1,1.9964400000000002,2.9641800000000003
B563,1,5,11,p1_1,2.52222,3.0454600000000007
B564,1,1,11,p1_1,0.48768,13.67282
B565,1,4,11,p1_1,0.24892,6.20776
B569,1,5,11,p1_1,1.86182,14.980920000000001
B570,1,3,10,p2_1,0.8712200000000001,0.6375399999999999
B574,1,3,11,p1_1,1.55956,2.8854400000000004
B575,1,2,10,p2_1,0.57658,19.8247
B575,1,2,11,p1_1,1.84404,6.72592
B579,1,2,11,p1_1,0.42672000000000004,2.7990800000000005
B580,1,1,11,p1_1,0.61468,NA
B584,1,5,11,p1_1,0.6604,8.199119999999999
B585,1,6,11,p1_1,1.35382,4.7396400000000005
B586,1,1,11,p1_1,0.41402,NA
B588,1,4,11,p1_1,1.19126,2.52222
B589,1,6,11,p1_1,0.80772,8.4328
B591,1,1,11,p1_1,1.83896,2.99466
B599,1,5,10,p2_1,1.30048,14.244320000000002
B600,1,5,11,p1_1,0.32258000000000003,18.58518
B605,1,3,11,p1_1,1.13792,9.936480000000001
B606,1,2,11,p1_1,1.1176,6.86562
B611,1,1,11,p1_1,0.92964,4.16306
B869,1,5,10,p2_1,0.53594,10.35558
B869_cor,1,2,11,p1_1,0.40132,8.80872
B872,1,3,10,p2_1,0.65532,9.91362
B872_cor,1,1,11,p1_1,0.5613400000000001,9.41578
B873,1,5,10,p2_1,1.3258800000000002,7.5057
B873_cor,1,5,11,p1_1,0.39624,5.06222
B874,1,4,10,p2_1,0.39878,0.7848600000000001
B874_cor,1,3,10,p2_1,1.9989800000000002,2.0065999999999997
B876,1,4,11,p1_1,0.79756,2.6441399999999997
B880,1,6,11,p1_1,0.22352,7.89686
B886,1,2,10,p2_1,0.50546,4.50342
B886_cor,1,2,10,p2_1,1.83896,4.028440000000001
B887,1,4,10,p2_1,0.28448,13.655040000000001
B887_cor,1,1,10,p2_1,0.24638000000000002,9.288780000000001
B890,1,3,10,p2_1,1.44272,9.9187
B890_cor,1,3,11,p1_1,0.34798,3.2639
B892,1,3,10,p2_1,0.254,5.49148
B896,1,4,10,p2_1,0.16764,NA
B896_cor,1,3,11,p1_1,0.34036000000000005,6.35
B898,1,5,10,p2_1,1.87452,3.6245800000000004
B898_cor,1,2,11,p1_1,0.53594,10.01268
B901,1,4,10,p2_1,0.21844,15.217139999999999
B901_cor,1,2,11,p1_1,0.55372,16.05788
B905,1,1,11,p1_1,0.25908,10.70356
B906,1,4,10,p2_1,0.28194,9.34466
B906_cor,1,5,11,p1_1,0.3556,NA
B908,1,2,10,p2_1,0.33782,10.401299999999999
B908_cor,1,3,11,p1_1,1.88468,6.10616
B926,1,4,11,p1_1,1.56718,4.584700000000001
B927,1,4,11,p1_1,0.43434000000000006,8.31342
B929,1,5,10,p2_1,1.3462,1.10744
B930,1,4,10,p2_1,1.7272,5.1943
B932,1,4,11,p1_1,0.14732,5.6032399999999996
B956,1,3,11,p1_1,0.34544,7.56158
B960,1,1,10,p2_1,0.6807200000000001,18.1102
B960_cor,1,4,11,p1_1,0.14986,2.1971
B961,1,5,10,p2_1,0.7874,NA
B961_cor,1,2,11,p1_1,1.3360400000000001,3.6347400000000003
B996,1,2,11,p1_1,1.18618,6.799580000000001
B997,1,1,11,p1_1,2.41046,2.4028400000000003
B998,1,5,11,p1_1,0.26924,5.595620000000001
C001,1,5,11,p1_1,1.56718,3.5585399999999994
C026,1,2,10,p2_1,0.45466,3.95478
C026_cor,1,5,11,p1_1,0.20828000000000002,8.0518
C029,1,1,10,p2_1,0.34544,9.4488
C029_cor,1,2,10,p2_1,0.47244,NA
C030,1,5,10,p2_1,0.21844,6.568440000000001
C031,1,1,10,p2_1,0.0762,3.6931599999999998
C031_cor,1,1,10,p2_1,0.57404,9.441180000000001
C033,1,3,10,p2_1,0.40132,4.704079999999999
C036,1,3,10,p2_1,0.46482,18.877280000000003
C039,1,3,10,p2_1,0.53848,21.57984
C242,1,1,10,p2_1,1.35128,5.0546
C271,1,3,10,p2_1,0.508,6.347459999999999
C272,1,1,10,p2_1,2.41046,1.2598400000000003
C290,1,5,10,p2_1,1.54432,3.8455599999999994
C291,1,2,10,p2_1,0.39878,11.06424
C366,1,5,11,p1_1,1.3970000000000002,8.69696
KN99,1,6,10,p2_1,1.49352,16.891000000000002
KN99,1,1,11,p1_1,1.1811,17.574260000000002
XL280a,1,4,10,p2_1,0.3937,8.14832
XL280a,1,1,11,p1_1,0.37338,11.84148
XL280alpha,1,3,10,p2_1,0.87884,8.48106
